Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
158, 300, 0.008, 1e-05, 0.03, 7.538844463432859, 2.3329612600684166
159, 300, 0.008, 1e-05, 0.01, 7.370108029249847, 2.3619494308437905
160, 300, 0.005, 8e-05, 0.8, 11.670439180434583, 2.4159752358809006
161, 300, 0.005, 8e-05, 0.5, 8.376808727062071, 2.3365188792018614
162, 300, 0.005, 8e-05, 0.3, 7.9831615061864865, 2.369204047384202
163, 300, 0.005, 8e-05, 0.1, 8.413695013985274, 2.417891757831922
164, 300, 0.005, 8e-05, 0.08, 8.037303239591955, 2.472920281309945
165, 300, 0.005, 8e-05, 0.05, 8.128293020572968, 2.5083123877162157
166, 300, 0.005, 8e-05, 0.03, 8.317208640620134, 2.4514930628770295
167, 300, 0.005, 8e-05, 0.01, 7.682483832892737, 2.383507376219282
168, 300, 0.005, 5e-05, 0.8, 11.511359202527817, 2.4077881228861666
169, 300, 0.005, 5e-05, 0.5, 8.447127103581675, 2.374037813456111
170, 300, 0.005, 5e-05, 0.3, 8.021778589762349, 2.3657584064270307
171, 300, 0.005, 5e-05, 0.1, 7.932957752255298, 2.372841729696152
172, 300, 0.005, 5e-05, 0.08, 8.45751675323047, 2.4581639290338213
173, 300, 0.005, 5e-05, 0.05, 8.093245913160994, 2.4597862919059414
174, 300, 0.005, 5e-05, 0.03, 8.272969294966813, 2.4443267102727084
175, 300, 0.005, 5e-05, 0.01, 8.469897037042209, 2.4751247921602024
176, 300, 0.005, 3e-05, 0.8, 12.082256350052528, 2.419426218102893
177, 300, 0.005, 3e-05, 0.5, 8.002210170352443, 2.332057691854124
178, 300, 0.005, 3e-05, 0.3, 7.9628684074365825, 2.322719341786497
179, 300, 0.005, 3e-05, 0.1, 7.804148191712876, 2.371536380974001
180, 300, 0.005, 3e-05, 0.08, 8.298846750989203, 2.4075798618318696
181, 300, 0.005, 3e-05, 0.05, 7.740148403501159, 2.4159401552140483
182, 300, 0.005, 3e-05, 0.03, 8.220707186506328, 2.4524258864101176
183, 300, 0.005, 3e-05, 0.01, 8.241759015001824, 2.4912792780637165
184, 300, 0.005, 1e-05, 0.8, 12.97404982280799, 2.381226124911163
185, 300, 0.005, 1e-05, 0.5, 8.45998034262617, 2.3705097030711286
186, 300, 0.005, 1e-05, 0.3, 8.08044174844171, 2.3657592212704905
187, 300, 0.005, 1e-05, 0.1, 7.816008338313473, 2.3522103261482417
188, 300, 0.005, 1e-05, 0.08, 7.68475696104214, 2.3392898239643825
189, 300, 0.005, 1e-05, 0.05, 7.873874439340045, 2.4328648021923187
190, 300, 0.005, 1e-05, 0.03, 7.870622293008919, 2.43384933992148
191, 300, 0.005, 1e-05, 0.01, 7.886352374953556, 2.4032845025323453
192, 300, 0.003, 8e-05, 0.8, 10.714402071160254, 2.5734279950298147
193, 300, 0.003, 8e-05, 0.5, 9.117142283771305, 2.5002187651444747
194, 300, 0.003, 8e-05, 0.3, 9.257081741601532, 2.4934922521779463
195, 300, 0.003, 8e-05, 0.1, 9.200791672403135, 2.601569136948235
196, 300, 0.003, 8e-05, 0.08, 9.274964505423316, 2.577804355789264
197, 300, 0.003, 8e-05, 0.05, 9.091175192550093, 2.55214048839417
198, 300, 0.003, 8e-05, 0.03, 9.400414249913991, 2.7178939398044544
199, 300, 0.003, 8e-05, 0.01, 9.345596895298257, 2.70184441539192
200, 300, 0.003, 5e-05, 0.8, 10.91859845124469, 2.5693707383212074
201, 300, 0.003, 5e-05, 0.5, 9.270794257879198, 2.5427369424932436
202, 300, 0.003, 5e-05, 0.3, 9.04448669308438, 2.4991028960499735
203, 300, 0.003, 5e-05, 0.1, 9.180504891940108, 2.548607647417274
204, 300, 0.003, 5e-05, 0.08, 9.101037092340174, 2.565064459184614
205, 300, 0.003, 5e-05, 0.05, 9.473677077351445, 2.5991814442744117
206, 300, 0.003, 5e-05, 0.03, 9.199476391487124, 2.630770346129778
207, 300, 0.003, 5e-05, 0.01, 9.190861059355036, 2.5731198702111127
208, 300, 0.003, 3e-05, 0.8, 10.857352981845029, 2.5579929966143604
209, 300, 0.003, 3e-05, 0.5, 9.325954883535275, 2.5225375116943467
210, 300, 0.003, 3e-05, 0.3, 9.332246381781626, 2.5197568367416188
211, 300, 0.003, 3e-05, 0.1, 9.054863503006906, 2.5600152254491912
212, 300, 0.003, 3e-05, 0.08, 9.274003236169037, 2.5600842721396786
213, 300, 0.003, 3e-05, 0.05, 9.236118309855698, 2.575566155842499
214, 300, 0.003, 3e-05, 0.03, 9.150422909077635, 2.6178906981351595
215, 300, 0.003, 3e-05, 0.01, 9.281800251659945, 2.6309842048880574
216, 300, 0.003, 1e-05, 0.8, 10.961020792166668, 2.5827291587957277
217, 300, 0.003, 1e-05, 0.5, 9.221005031292211, 2.5213670768197813
218, 300, 0.003, 1e-05, 0.3, 9.040568353923568, 2.5237361617128586
219, 300, 0.003, 1e-05, 0.1, 9.17407590467448, 2.559562019965384
220, 300, 0.003, 1e-05, 0.08, 8.91802888581157, 2.569371642610008
221, 300, 0.003, 1e-05, 0.05, 8.937700354053375, 2.571061017090981
222, 300, 0.003, 1e-05, 0.03, 8.967834392393872, 2.5048580440888637
223, 300, 0.003, 1e-05, 0.01, 9.4261633614196, 2.6071512064292572
224, 300, 0.001, 8e-05, 0.8, 19.603693941046966, 3.635464063649509
225, 300, 0.001, 8e-05, 0.5, 15.89383604750788, 3.316549841124135
226, 300, 0.001, 8e-05, 0.3, 13.917286198305794, 3.081327052303085
227, 300, 0.001, 8e-05, 0.1, 14.831372036777918, 3.201670603429303
228, 300, 0.001, 8e-05, 0.08, 13.362588423783425, 3.013212474317803
229, 300, 0.001, 8e-05, 0.05, 14.459235065305403, 3.141560574167332
230, 300, 0.001, 8e-05, 0.03, 13.93846868168934, 3.1086369848738515
231, 300, 0.001, 8e-05, 0.01, 14.14239046804723, 3.1861413963005747
232, 300, 0.001, 5e-05, 0.8, 17.82266914944169, 3.507393339648979
233, 300, 0.001, 5e-05, 0.5, 15.420188445728849, 3.362126431433507
234, 300, 0.001, 5e-05, 0.3, 15.00275517760134, 3.1998637864135566
235, 300, 0.001, 5e-05, 0.1, 14.355551281012135, 3.1768436159885347
236, 300, 0.001, 5e-05, 0.08, 14.7220981881005, 3.188434952034676
237, 300, 0.001, 5e-05, 0.05, 13.71564050745335, 3.089040178715547
238, 300, 0.001, 5e-05, 0.03, 14.773997228424554, 3.3238506555666527
239, 300, 0.001, 5e-05, 0.01, 15.34179489303419, 3.221926134752441
240, 300, 0.001, 3e-05, 0.8, 19.007490459179614, 3.6599353416035774
241, 300, 0.001, 3e-05, 0.5, 15.904114419061376, 3.336055675508573
242, 300, 0.001, 3e-05, 0.3, 14.248905414349583, 3.1380744873231343
243, 300, 0.001, 3e-05, 0.1, 12.978040447030418, 3.0449431328758925
244, 300, 0.001, 3e-05, 0.08, 14.112480607468717, 3.1022271633191885
245, 300, 0.001, 3e-05, 0.05, 12.994907874449643, 3.0288596113802084
246, 300, 0.001, 3e-05, 0.03, 14.051564468587731, 3.133070040761267
247, 300, 0.001, 3e-05, 0.01, 13.511340389133045, 3.1031307821806364
248, 300, 0.001, 1e-05, 0.8, 19.61558949967091, 3.7073394794301775
249, 300, 0.001, 1e-05, 0.5, 15.050108136719567, 3.1907904977159296
250, 300, 0.001, 1e-05, 0.3, 14.785186051190319, 3.185112019987229
251, 300, 0.001, 1e-05, 0.1, 13.9136115547505, 3.122618807171878
252, 300, 0.001, 1e-05, 0.08, 13.527954707495454, 3.1149190031083025
253, 300, 0.001, 1e-05, 0.05, 14.394990590994436, 3.1949313720674923
254, 300, 0.001, 1e-05, 0.03, 14.136234813119128, 3.1903466501612416
255, 300, 0.001, 1e-05, 0.01, 13.755103558428207, 3.0335770042895556
256, 600, 0.08, 8e-05, 0.8, 461749.48086974164, 598.8152726897348
257, 600, 0.08, 8e-05, 0.5, 432526.6325547641, 135.6457881305261
258, 600, 0.08, 8e-05, 0.3, 45.765692090961785, 4.757308357173984
259, 600, 0.08, 8e-05, 0.1, 27.944925478119625, 4.184608438126501
260, 600, 0.08, 8e-05, 0.08, 27.399245986284576, 4.322217297381317
261, 600, 0.08, 8e-05, 0.05, 26.836141940786007, 4.179189991325252
262, 600, 0.08, 8e-05, 0.03, 38.620055603739004, 4.990163742969922
263, 600, 0.08, 8e-05, 0.01, 31.110869825619194, 4.4595081531038625
264, 600, 0.08, 5e-05, 0.8, 451914.4898609653, 574.0337054103401
265, 600, 0.08, 5e-05, 0.5, 401230.9017770384, 155.75660247037786
266, 600, 0.08, 5e-05, 0.3, 85.54628474600943, 5.301962247838111
267, 600, 0.08, 5e-05, 0.1, 26.439620937948728, 4.059189160299211
268, 600, 0.08, 5e-05, 0.08, 26.561501690048534, 4.141835753960596
269, 600, 0.08, 5e-05, 0.05, 25.601822761309318, 3.9618479341224457
270, 600, 0.08, 5e-05, 0.03, 27.585666075660516, 4.347651265671422
271, 600, 0.08, 5e-05, 0.01, 27.66915213187546, 4.327304154275399
272, 600, 0.08, 3e-05, 0.8, 450775.83559284126, 628.7495171808608
273, 600, 0.08, 3e-05, 0.5, 429430.9690044449, 136.4232299290117
274, 600, 0.08, 3e-05, 0.3, 21053.015053841817, 5.517682742558426
275, 600, 0.08, 3e-05, 0.1, 21.91221802295113, 3.6554714646841866
276, 600, 0.08, 3e-05, 0.08, 25.37906534252294, 3.7421583904959137
277, 600, 0.08, 3e-05, 0.05, 28.36828644160343, 4.195985963687372
278, 600, 0.08, 3e-05, 0.03, 34.637483430937756, 4.872019905609971
279, 600, 0.08, 3e-05, 0.01, 26.214286980030742, 4.2438901635429245
280, 600, 0.08, 1e-05, 0.8, 477821.23728075204, 621.3855283450682
281, 600, 0.08, 1e-05, 0.5, 406218.976725298, 140.11433938833042
282, 600, 0.08, 1e-05, 0.3, 64616.61272213494, 8.01800936870034
283, 600, 0.08, 1e-05, 0.1, 26.31667185569699, 3.972041984418855
284, 600, 0.08, 1e-05, 0.08, 32.05900208796622, 4.500798619431922
285, 600, 0.08, 1e-05, 0.05, 27.10485232575266, 4.327359631334075
286, 600, 0.08, 1e-05, 0.03, 26.81894210867252, 4.21972137315843
287, 600, 0.08, 1e-05, 0.01, 31.641656500648157, 4.634793406577996
288, 600, 0.05, 8e-05, 0.8, 475827.44408834755, 571.7757598063783
289, 600, 0.05, 8e-05, 0.5, 20795.651520673717, 9.030088831192163
290, 600, 0.05, 8e-05, 0.3, 11.990214968851731, 2.1956294886454724
291, 600, 0.05, 8e-05, 0.1, 12.429675863375502, 2.3077027419895737
292, 600, 0.05, 8e-05, 0.08, 10.54430934749817, 2.2809028910219644
293, 600, 0.05, 8e-05, 0.05, 11.910788198246504, 2.346243042977234
294, 600, 0.05, 8e-05, 0.03, 13.271499711680452, 2.601859455043432
295, 600, 0.05, 8e-05, 0.01, 13.390248152545505, 2.672231905873104
296, 600, 0.05, 5e-05, 0.8, 451473.84377061727, 685.3681862890703
297, 600, 0.05, 5e-05, 0.5, 1301.3208388979888, 6.243841661524549
298, 600, 0.05, 5e-05, 0.3, 13.509090725820338, 2.318036890834116
299, 600, 0.05, 5e-05, 0.1, 10.534857317479547, 2.3547497402073936
300, 600, 0.05, 5e-05, 0.08, 11.875144878038986, 2.424645406765574
301, 600, 0.05, 5e-05, 0.05, 14.920602416607693, 2.6982698211100598
302, 600, 0.05, 5e-05, 0.03, 10.177519984645185, 2.4045746459036335
303, 600, 0.05, 5e-05, 0.01, 13.568378723504463, 2.5824446950125948
304, 600, 0.05, 3e-05, 0.8, 448595.67032538995, 629.901422634721
305, 600, 0.05, 3e-05, 0.5, 100696.4835248104, 22.82173235860872
306, 600, 0.05, 3e-05, 0.3, 14.37022095130431, 2.3091332460325944
307, 600, 0.05, 3e-05, 0.1, 10.653468953423602, 2.2532356992268356
308, 600, 0.05, 3e-05, 0.08, 14.896106612002082, 2.4908426072790513
309, 600, 0.05, 3e-05, 0.05, 15.04485535365799, 2.631064231353614
