Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
166, 300, 0.005, 8e-05, 0.03, 10.909668627573403, 2.827729386374774
167, 300, 0.005, 8e-05, 0.01, 10.751016882302334, 2.8671027517691496
168, 300, 0.005, 5e-05, 0.8, 23.943077948897933, 3.977872012371109
169, 300, 0.005, 5e-05, 0.5, 15.069219097937156, 3.2804359025240735
170, 300, 0.005, 5e-05, 0.3, 12.573456697892407, 3.0375713527979067
171, 300, 0.005, 5e-05, 0.1, 11.047808264742761, 2.88924798132967
172, 300, 0.005, 5e-05, 0.08, 10.743331654996163, 2.8296780177477334
173, 300, 0.005, 5e-05, 0.05, 11.542804523242554, 2.8664166568616194
174, 300, 0.005, 5e-05, 0.03, 10.435488210106108, 2.7534502682811075
175, 300, 0.005, 5e-05, 0.01, 10.70568501001192, 2.7861376285882997
176, 300, 0.005, 3e-05, 0.8, 24.279535915761866, 3.904374700677034
177, 300, 0.005, 3e-05, 0.5, 15.532605719302998, 3.338668118059722
178, 300, 0.005, 3e-05, 0.3, 11.968541143559202, 2.9257299670337154
179, 300, 0.005, 3e-05, 0.1, 11.161983199425434, 2.9360270295681277
180, 300, 0.005, 3e-05, 0.08, 10.815187427549493, 2.845632333625261
181, 300, 0.005, 3e-05, 0.05, 10.587800789220541, 2.8523927118338177
182, 300, 0.005, 3e-05, 0.03, 10.6553623284105, 2.7218270920727115
183, 300, 0.005, 3e-05, 0.01, 10.966637480973137, 2.792048912214443
184, 300, 0.005, 1e-05, 0.8, 25.934322875862375, 4.139504536150955
185, 300, 0.005, 1e-05, 0.5, 14.485160143734678, 3.2539354534860836
186, 300, 0.005, 1e-05, 0.3, 14.38442244854869, 3.2704696018651638
187, 300, 0.005, 1e-05, 0.1, 11.008846275350372, 2.83763388186435
188, 300, 0.005, 1e-05, 0.08, 11.014207896620597, 2.836033194095568
189, 300, 0.005, 1e-05, 0.05, 10.227022038667583, 2.7276151083337186
190, 300, 0.005, 1e-05, 0.03, 10.530748546033548, 2.8561751697834006
191, 300, 0.005, 1e-05, 0.01, 11.298864901250486, 2.8608751791286187
192, 300, 0.003, 8e-05, 0.8, 34.96702684879175, 4.906726420375712
193, 300, 0.003, 8e-05, 0.5, 22.81841965617289, 4.068575148276844
194, 300, 0.003, 8e-05, 0.3, 19.048802094332036, 3.7227227319291805
195, 300, 0.003, 8e-05, 0.1, 15.560340064857012, 3.347132737107896
196, 300, 0.003, 8e-05, 0.08, 16.520813856799734, 3.457292598375863
197, 300, 0.003, 8e-05, 0.05, 17.555769810681348, 3.616899595770267
198, 300, 0.003, 8e-05, 0.03, 15.589434083722296, 3.3631169182022598
199, 300, 0.003, 8e-05, 0.01, 14.149347092808151, 3.2271645997263283
200, 300, 0.003, 5e-05, 0.8, 29.551940928735416, 4.57072732062943
201, 300, 0.003, 5e-05, 0.5, 22.68056665310242, 4.025933181883465
202, 300, 0.003, 5e-05, 0.3, 18.02777315536498, 3.663707311213654
203, 300, 0.003, 5e-05, 0.1, 15.522860507489412, 3.3230291164088945
204, 300, 0.003, 5e-05, 0.08, 14.63133082542808, 3.3029426728872955
205, 300, 0.003, 5e-05, 0.05, 14.781584210790214, 3.283256852601678
206, 300, 0.003, 5e-05, 0.03, 16.76837212977864, 3.510466787606478
207, 300, 0.003, 5e-05, 0.01, 17.818286087648268, 3.6585355968869577
208, 300, 0.003, 3e-05, 0.8, 30.82101400589868, 4.636286476122511
209, 300, 0.003, 3e-05, 0.5, 25.350683906464877, 4.224185691838452
210, 300, 0.003, 3e-05, 0.3, 20.942954740457502, 3.8683807986160366
211, 300, 0.003, 3e-05, 0.1, 16.708396909119585, 3.4753439726479116
212, 300, 0.003, 3e-05, 0.08, 17.042844564118887, 3.5061115152351077
213, 300, 0.003, 3e-05, 0.05, 14.764650073815778, 3.2725947334852714
214, 300, 0.003, 3e-05, 0.03, 15.254772479901494, 3.276529490297142
215, 300, 0.003, 3e-05, 0.01, 14.709236470546116, 3.3107914533215443
216, 300, 0.003, 1e-05, 0.8, 31.441534935578623, 4.652121343069863
217, 300, 0.003, 1e-05, 0.5, 27.62334465992664, 4.412632557644873
218, 300, 0.003, 1e-05, 0.3, 20.335305512275248, 3.83297249429976
219, 300, 0.003, 1e-05, 0.1, 16.863713926750492, 3.453359650617334
220, 300, 0.003, 1e-05, 0.08, 19.363223832037143, 3.7941262792742974
221, 300, 0.003, 1e-05, 0.05, 14.446347322732137, 3.2767204348224177
222, 300, 0.003, 1e-05, 0.03, 15.135934443236783, 3.233449238018296
223, 300, 0.003, 1e-05, 0.01, 16.758720865981616, 3.47564129142123
224, 300, 0.001, 8e-05, 0.8, 63.997819086017, 6.3492940893383905
225, 300, 0.001, 8e-05, 0.5, 51.52716455379059, 5.743934854767614
226, 300, 0.001, 8e-05, 0.3, 44.88018451055457, 5.425073904090313
227, 300, 0.001, 8e-05, 0.1, 35.84764774251912, 4.915081971450474
228, 300, 0.001, 8e-05, 0.08, 40.28966726594615, 5.181564912372232
229, 300, 0.001, 8e-05, 0.05, 40.3627973918985, 5.234989119328176
230, 300, 0.001, 8e-05, 0.03, 36.123969855150875, 4.977229417328653
231, 300, 0.001, 8e-05, 0.01, 38.13060206704435, 5.0873987346369685
232, 300, 0.001, 5e-05, 0.8, 61.194868411460035, 6.206332367354613
233, 300, 0.001, 5e-05, 0.5, 52.4333138026024, 5.833061451918038
234, 300, 0.001, 5e-05, 0.3, 45.179548372035626, 5.485268670607137
235, 300, 0.001, 5e-05, 0.1, 39.67384364998948, 5.184480144942932
236, 300, 0.001, 5e-05, 0.08, 39.428189068836026, 5.151577683038756
237, 300, 0.001, 5e-05, 0.05, 38.949175726350525, 5.109973918176657
238, 300, 0.001, 5e-05, 0.03, 37.60410505983882, 5.122583633805936
239, 300, 0.001, 5e-05, 0.01, 35.395609569846535, 4.934807583561271
240, 300, 0.001, 3e-05, 0.8, 56.56344462075589, 5.9560902761612144
241, 300, 0.001, 3e-05, 0.5, 48.80238043015707, 5.623574341733038
242, 300, 0.001, 3e-05, 0.3, 45.236161705751975, 5.393398921835556
243, 300, 0.001, 3e-05, 0.1, 39.90920166918139, 5.205921166195781
244, 300, 0.001, 3e-05, 0.08, 39.31101485377768, 5.206351521959613
245, 300, 0.001, 3e-05, 0.05, 40.85234889006575, 5.22755723273655
246, 300, 0.001, 3e-05, 0.03, 37.07948564723132, 4.982886739509939
247, 300, 0.001, 3e-05, 0.01, 37.63101190746245, 4.9671885134524825
248, 300, 0.001, 1e-05, 0.8, 60.2751583766717, 6.173789718354424
